Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_source_score
Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_late_score
Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_inter_score
Reading edge file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/all_nw_ticam1_ko_genes
Mapping: Ran Xpo1 -- 0.8
Mapping: Rasl2-9 Xpo1 -- 0.8
Mapping: 1700009N14Rik Xpo1 -- 0.8
Mapping: Ran Nmd3 -- 0.8
**Direct connection between source and sink for Ran-Nmd3
Mapping: Rasl2-9 Nmd3 -- 0.8
Mapping: 1700009N14Rik Nmd3 -- 0.8
Mapping: Ran Xpot -- 0.8
Mapping: Rasl2-9 Xpot -- 0.8
Mapping: 1700009N14Rik Xpot -- 0.8
Mapping: Ran Xpo5 -- 0.8
Mapping: Rasl2-9 Xpo5 -- 0.8
Mapping: 1700009N14Rik Xpo5 -- 0.8
Mapping: Ran Eef1a1 -- 0.8
Mapping: Ran Eef1a2 -- 0.8
Mapping: Rasl2-9 Eef1a1 -- 0.8
Mapping: Rasl2-9 Eef1a2 -- 0.8
Mapping: 1700009N14Rik Eef1a1 -- 0.8
Mapping: 1700009N14Rik Eef1a2 -- 0.8
Mapping: Ran Phax -- 0.8
Mapping: Rasl2-9 Phax -- 0.8
Mapping: 1700009N14Rik Phax -- 0.8
Mapping: Ran Ncbp1 -- 0.8
Mapping: Ran Ncbp2 -- 0.8
Mapping: Rasl2-9 Ncbp1 -- 0.8
Mapping: Rasl2-9 Ncbp2 -- 0.8
Mapping: 1700009N14Rik Ncbp1 -- 0.8
Mapping: 1700009N14Rik Ncbp2 -- 0.8
Mapping: Kpnb1 Snupn -- 0.8
Mapping: Thoc1 Thoc2 -- 0.8
Mapping: Thoc1 Thoc5 -- 0.8
Mapping: Thoc1 Thoc6 -- 0.8
Mapping: Thoc1 Thoc7 -- 0.8
Mapping: Rbm8a Casc3 -- 0.8
Mapping: Rbm8a Magoh -- 0.8
Mapping: Rbm8a Magohb -- 0.8
Mapping: Rbm8a Eif4a3 -- 0.8
Mapping: Rbm8a Gm8994 -- 0.8
Mapping: Gm10094 Pnn -- 0.8
Mapping: Sap18 Pnn -- 0.8
Mapping: Gm10094 Acin1 -- 0.8
Mapping: Sap18 Acin1 -- 0.8
Mapping: Gm10094 Rnps1 -- 0.8
Mapping: Sap18 Rnps1 -- 0.8
Mapping: Gm10094 Gm4340 -- 0.8
Mapping: Sap18 Gm4340 -- 0.8
Mapping: Gm10094 Alyref -- 0.8
Mapping: Sap18 Alyref -- 0.8
Mapping: Gm10094 Alyref2 -- 0.8
Mapping: Sap18 Alyref2 -- 0.8
Mapping: Gm10094 AC121888.1 -- 0.8
Mapping: Sap18 AC121888.1 -- 0.8
Mapping: Nxf7 Nxt2 -- 0.8
Mapping: Nxf7 Nxt1 -- 0.8
Mapping: Nxf3 Nxt2 -- 0.8
Mapping: Nxf3 Nxt1 -- 0.8
Mapping: Nxf1 Nxt2 -- 0.8
Mapping: Nxf1 Nxt1 -- 0.8
Mapping: Nxf2 Nxt2 -- 0.8
Mapping: Nxf2 Nxt1 -- 0.8
Mapping: Upf2 Upf3a -- 0.8
Mapping: Upf2 Upf3b -- 0.8
Mapping: Upf1 Upf2 -- 0.8
Mapping: Gm9781 Eif1a -- 0.8
Mapping: Gm9781 Eif1 -- 0.8
Mapping: Gm9781 Eif1ax -- 0.8
Mapping: Gm9781 Eif1b -- 0.8
Mapping: Eif3a Eif1a -- 0.8
Mapping: Eif3a Eif1 -- 0.8
Mapping: Eif3a Eif1ax -- 0.8
Mapping: Eif3a Eif1b -- 0.8
Mapping: Eif3e Eif1a -- 0.8
Mapping: Eif3e Eif1 -- 0.8
Mapping: Eif3e Eif1ax -- 0.8
Mapping: Eif3e Eif1b -- 0.8
Mapping: Eif3b Eif1a -- 0.8
Mapping: Eif3b Eif1 -- 0.8
Mapping: Eif3b Eif1ax -- 0.8
Mapping: Eif3b Eif1b -- 0.8
Mapping: Eif3g Eif1a -- 0.8
Mapping: Eif3g Eif1 -- 0.8
