Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513281702/Yeast_3g_txn_1513281702_sourceGenes.txt
Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513281702/Yeast_3g_txn_1513281702_interGenes.txt
Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513281702/Yeast_3g_txn_1513281702_lateGenes.txt
Reading edge file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513281702/Yeast_network
Mapping: YBL032W YPR204W -- 0.7
Mapping: YBL032W YPR203W -- 0.7
Mapping: YPR065W YPR202W -> 0.3
Mapping: YOL028C YPR202W -> 0.3
Mapping: YLR013W YPR202W -> 0.6
Mapping: YKL062W YPR202W -> 0.6
Mapping: YKL043W YPR202W -> 0.6
Mapping: YIR018W YPR202W -> 0.6
Mapping: YDR259C YPR202W -> 0.6
Mapping: YBL032W YPR202W -- 0.7
Mapping: YOL028C YPR201W -> 0.6
Mapping: YDR423C YPR201W -> 0.3
Mapping: YOL028C YPR200C -> 0.6
Mapping: YDR423C YPR200C -> 0.3
Mapping: YPR199C YPR198W -> 0.3
Mapping: YPL049C YPR198W -> 0.6
Mapping: YOL028C YPR198W -> 0.3
Mapping: YBR083W YPR198W -> 0.6
Mapping: YBL103C YPR198W -> 0.6
Mapping: YBL032W YPR198W -- 0.7
Mapping: YPR065W YPR196W -> 0.3
**Direct connection between source and sink for YPR065W-YPR196W
Mapping: YPL248C YPR196W -> 0.6
Mapping: YNL068C YPR196W -> 0.6
Mapping: YKL043W YPR196W -> 0.3
Mapping: YJR060W YPR196W -> 0.3
Mapping: YIL131C YPR196W -> 0.6
Mapping: YFR034C YPR196W -> 0.3
Mapping: YER040W YPR196W -> 0.6
Mapping: YEL009C YPR196W -> 0.3
Mapping: YDL106C YPR196W -> 0.6
**Direct connection between source and sink for YDL106C-YPR196W
Mapping: YDL056W YPR196W -> 0.3
Mapping: YPR065W YPR194C -> 0.3
Mapping: YPL248C YPR194C -> 0.6
Mapping: YNL068C YPR194C -> 0.6
Mapping: YKL043W YPR194C -> 0.3
Mapping: YJR060W YPR194C -> 0.3
Mapping: YIL131C YPR194C -> 0.6
Mapping: YFR034C YPR194C -> 0.3
Mapping: YER040W YPR194C -> 0.6
Mapping: YEL009C YPR194C -> 0.3
Mapping: YDL106C YPR194C -> 0.6
Mapping: YDL056W YPR194C -> 0.3
Mapping: YBL032W YPR194C -- 0.7
Mapping: YDR259C YPR192W -> 0.5
Mapping: YKL112W YPR191W -> 0.7
Mapping: YBL045C YPR191W -- 0.978125
Mapping: YPR187W YPR190C -- 0.75
Mapping: YPR110C YPR190C -- 0.96875
Mapping: YOR224C YPR190C -- 0.75
Mapping: YOR210W YPR190C -- 0.75
Mapping: YOR207C YPR190C -- 0.875
Mapping: YOR116C YPR190C -- 0.96875
Mapping: YNR003C YPR190C -- 0.9846875
Mapping: YNL151C YPR190C -- 0.875
Mapping: YNL113W YPR190C -- 0.75
Mapping: YKR025W YPR190C -- 0.875
Mapping: YKL144C YPR190C -- 0.9375
Mapping: YKL112W YPR190C -> 0.7
Mapping: YJL011C YPR190C -- 0.875
Mapping: YDR005C YPR190C -- 0.96875
Mapping: YDL150W YPR190C -- 0.875
Mapping: YBR154C YPR190C -- 0.75
Mapping: YOR063W YPR189W -- 0.75
Mapping: YMR116C YPR189W -- 0.75
Mapping: YLR398C YPR189W -- 0.9890625
Mapping: YJR123W YPR189W -- 0.75
Mapping: YHR010W YPR189W -- 0.75
Mapping: YGR285C YPR189W -- 0.875
Mapping: YGR158C YPR189W -- 0.75
Mapping: YGL213C YPR189W -- 0.996171875
Mapping: YDR280W YPR189W -- 0.9375
Mapping: YDR064W YPR189W -- 0.75
Mapping: YDL111C YPR189W -- 0.75
Mapping: YHR023W YPR188C -- 0.969375
Mapping: YBL032W YPR188C -- 0.7
Mapping: YPR110C YPR187W -- 0.96875
Mapping: YPR010C YPR187W -- 0.75
Mapping: YPL129W YPR187W -- 0.875
Mapping: YOR341W YPR187W -- 0.9890625
Mapping: YOR340C YPR187W -- 0.875
Mapping: YOR210W YPR187W -- 0.75
Mapping: YOR207C YPR187W -- 0.875
Mapping: YOR151C YPR187W -- 0.9995625
Mapping: YOR116C YPR187W -- 0.9375
Mapping: YOL005C YPR187W -- 0.75
Mapping: YNR003C YPR187W -- 0.75
Mapping: YNL248C YPR187W -- 0.9375
Mapping: YNL151C YPR187W -- 0.75
Mapping: YNL113W YPR187W -- 0.75
Mapping: YML010W YPR187W -- 0.875
Mapping: YLR071C YPR187W -- 0.7
Mapping: YKL144C YPR187W -- 0.9375
Mapping: YKL112W YPR187W -> 0.8
Mapping: YJR063W YPR187W -- 0.9375
Mapping: YJL148W YPR187W -- 0.875
Mapping: YJL140W YPR187W -- 0.825
Mapping: YIL021W YPR187W -- 0.990625
Mapping: YGR186W YPR187W -- 0.75
Mapping: YGR063C YPR187W -- 0.75
Mapping: YGR005C YPR187W -- 0.875
Mapping: YGL070C YPR187W -- 0.990625
Mapping: YER022W YPR187W -- 0.7
Mapping: YDR404C YPR187W -- 0.75
Mapping: YDL150W YPR187W -- 0.875
Mapping: YDL140C YPR187W -- 0.999999531
Mapping: YDL115C YPR187W -- 0.75
Mapping: YBR154C YPR187W -- 0.9375
Mapping: YKL112W YPR186C -> 0.8
Mapping: YLR423C YPR185W -- 0.825
Mapping: YLR182W YPR185W -> 0.95
Mapping: YGL180W YPR185W -- 0.98928125
Mapping: YEL013W YPR185W -- 0.91425
Mapping: YBL032W YPR185W -- 0.7
Mapping: YPL202C YPR184W -> 0.3
Mapping: YMR070W YPR184W -> 0.5
Mapping: YGL131C YPR184W -> 0.95
Mapping: YGL035C YPR184W -> 0.95
Mapping: YFR017C YPR184W -- 0.65
Mapping: YBL032W YPR184W -- 0.7
Mapping: YOL018C YPR183W -- 0.7
Mapping: YDR510W YPR183W -- 0.75
Mapping: YDR146C YPR183W -> 0.95
Mapping: YBL032W YPR183W -- 0.7
Mapping: YPR178W YPR182W -- 0.875
Mapping: YPR101W YPR182W -- 0.75
Mapping: YPL213W YPR182W -- 0.75
Mapping: YPL202C YPR182W -> 0.3
Mapping: YOR159C YPR182W -- 0.91425
Mapping: YMR125W YPR182W -- 0.75
Mapping: YML046W YPR182W -- 0.875
Mapping: YLR438C-A YPR182W -- 0.7
Mapping: YLR424W YPR182W -- 0.75
Mapping: YLR275W YPR182W -- 0.91425
Mapping: YLR147C YPR182W -- 0.875
Mapping: YLL036C YPR182W -- 0.925
Mapping: YKL173W YPR182W -- 0.75
Mapping: YKL012W YPR182W -- 0.875
Mapping: YJL124C YPR182W -- 0.7
Mapping: YIL061C YPR182W -- 0.75
Mapping: YHR165C YPR182W -- 0.75
Mapping: YGR091W YPR182W -- 0.75
Mapping: YGR074W YPR182W -- 0.75
Mapping: YGR013W YPR182W -- 0.875
Mapping: YGL073W YPR182W -> 0.3
Mapping: YER172C YPR182W -- 0.9775
Mapping: YER029C YPR182W -- 0.875
Mapping: YDR240C YPR182W -- 0.75
Mapping: YDR235W YPR182W -- 0.75
Mapping: YDL209C YPR182W -- 0.75
Mapping: YDL087C YPR182W -- 0.75
Mapping: YBR055C YPR182W -- 0.875
Mapping: YBR049C YPR182W -> 0.8
Mapping: YBL032W YPR182W -- 0.7
Mapping: YPL218W YPR181C -- 0.9891955
Mapping: YPL202C YPR181C -> 0.3
Mapping: YPL085W YPR181C -- 0.957125
Mapping: YNL049C YPR181C -- 0.9785625
Mapping: YLR268W YPR181C -- 0.85
Mapping: YLR208W YPR181C -- 0.9475
Mapping: YIL109C YPR181C -- 0.999613964
Mapping: YIL004C YPR181C -- 0.97375
Mapping: YHR098C YPR181C -- 0.91425
Mapping: YGL073W YPR181C -> 0.3
Mapping: YER151C YPR181C -- 0.825
Mapping: YDR517W YPR181C -- 0.9375
Mapping: YDR170C YPR181C -- 0.7
Mapping: YDL195W YPR181C -- 0.98875
Mapping: YBR049C YPR181C -> 0.8
Mapping: YBL032W YPR181C -- 0.7
Mapping: YLR249W YPR180W -- 0.75
Mapping: YDR510W YPR180W -- 0.825
Mapping: YDR404C YPR180W -- 0.75
Mapping: YDR390C YPR180W -- 0.95625
Mapping: YOL090W YPR179C -- 0.75
Mapping: YNL021W YPR179C -- 0.978125
Mapping: YDR295C YPR179C -- 0.95625
Mapping: YOR308C YPR178W -- 0.875
Mapping: YOR159C YPR178W -- 0.75
Mapping: YNL147W YPR178W -- 0.9125
Mapping: YLR438C-A YPR178W -- 0.75
Mapping: YLR275W YPR178W -- 0.75
Mapping: YLL036C YPR178W -- 0.85
Mapping: YKL173W YPR178W -- 0.875
Mapping: YKL112W YPR178W -> 0.95
Mapping: YJR022W YPR178W -- 0.825
Mapping: YJL203W YPR178W -- 0.75
Mapping: YHR165C YPR178W -- 0.9375
Mapping: YGR091W YPR178W -- 0.9375
Mapping: YER172C YPR178W -- 0.9971875
Mapping: YER146W YPR178W -- 0.875
Mapping: YER112W YPR178W -- 0.75
Mapping: YER029C YPR178W -- 0.875
Mapping: YDR473C YPR178W -- 0.98499375
Mapping: YDR378C YPR178W -- 0.875
Mapping: YDR283C YPR178W -- 0.75
Mapping: YDL098C YPR178W -- 0.875
Mapping: YBR152W YPR178W -- 0.875
Mapping: YBR055C YPR178W -- 0.990625
Mapping: YBL026W YPR178W -- 0.875
Mapping: YOR370C YPR176C -- 0.9265
Mapping: YKL112W YPR176C -> 0.95
Mapping: YJL031C YPR176C -- 0.9475
Mapping: YFL038C YPR176C -- 0.85
Mapping: YNL262W YPR175W -- 0.999999963
Mapping: YMR078C YPR175W -- 0.75
Mapping: YLR432W YPR175W -- 0.75
Mapping: YDR121W YPR175W -- 0.9890625
Mapping: YDL056W YPR175W -> 0.95
Mapping: YBR278W YPR175W -- 0.978125
Mapping: YBR160W YPR175W -- 0.75
Mapping: YER110C YPR174C -- 0.75
Mapping: YDL056W YPR174C -> 0.95
Mapping: YBL032W YPR174C -- 0.7
Mapping: YPL084W YPR173C -- 0.825
Mapping: YNL265C YPR173C -- 0.65
Mapping: YMR077C YPR173C -- 0.83193
Mapping: YLR181C YPR173C -- 0.999958476
Mapping: YLR025W YPR173C -- 0.957125
Mapping: YKR035W-A YPR173C -- 0.939975
Mapping: YKL002W YPR173C -- 0.9965
Mapping: YPL242C YPR171W -- 0.7
Mapping: YPL049C YPR171W -> 0.95
Mapping: YOR109W YPR171W -- 0.65
Mapping: YOL028C YPR171W -> 0.7
Mapping: YNL106C YPR171W -- 0.825
Mapping: YMR037C YPR171W -> 0.3
Mapping: YMR021C YPR171W -> 0.3
Mapping: YML081W YPR171W -> 0.6
Mapping: YJL110C YPR171W -> 0.95
Mapping: YIL101C YPR171W -> 0.5
Mapping: YHR084W YPR171W -> 0.8
Mapping: YHR016C YPR171W -- 0.79
Mapping: YHL020C YPR171W -> 0.95
Mapping: YHL009C YPR171W -> 0.7
Mapping: YGL162W YPR171W -> 0.3
Mapping: YGL106W YPR171W -- 0.75
Mapping: YGL013C YPR171W -> 0.95
Mapping: YFR024C-A YPR171W -- 0.853
Mapping: YDR388W YPR171W -- 0.853
Mapping: YBL032W YPR171W -- 0.7
Mapping: YBL007C YPR171W -- 0.755
Mapping: YNL110C YPR169W -- 0.75
Mapping: YDR096W YPR169W -- 0.65
Mapping: YPR070W YPR168W -- 0.875
Mapping: YPL038W YPR168W -> 0.95
Mapping: YOR174W YPR168W -- 0.825
Mapping: YOL135C YPR168W -- 0.93875
Mapping: YOL051W YPR168W -- 0.825
Mapping: YNR010W YPR168W -- 0.9375
Mapping: YNL236W YPR168W -- 0.75
Mapping: YMR112C YPR168W -- 0.75
Mapping: YLR071C YPR168W -- 0.978125
Mapping: YHR058C YPR168W -- 0.825
Mapping: YHR041C YPR168W -- 0.75
Mapping: YGR104C YPR168W -- 0.875
Mapping: YGL151W YPR168W -- 0.75
Mapping: YGL127C YPR168W -- 0.8775
Mapping: YGL025C YPR168W -- 0.75
Mapping: YER022W YPR168W -- 0.75
Mapping: YEL009C YPR168W -> 0.95
Mapping: YDR308C YPR168W -- 0.99540625
Mapping: YDR253C YPR168W -> 0.95
Mapping: YDL005C YPR168W -- 0.875
Mapping: YBR253W YPR168W -- 0.9375
Mapping: YBR193C YPR168W -- 0.75
Mapping: YBL093C YPR168W -- 0.875
Mapping: YPL038W YPR167C -> 0.95
Mapping: YLR043C YPR167C -- 0.65
Mapping: YGR209C YPR167C -- 0.65
Mapping: YEL009C YPR167C -> 0.95
Mapping: YDR253C YPR167C -> 0.95
Mapping: YPL161C YPR165W -- 0.87995
Mapping: YOR134W YPR165W -- 0.65
Mapping: YLR342W YPR165W -- 0.91
Mapping: YKL203C YPR165W -- 0.7
Mapping: YKL112W YPR165W -> 0.7
Mapping: YJR066W YPR165W -- 0.7
Mapping: YHR084W YPR165W -> 0.95
Mapping: YER008C YPR165W -- 0.657
Mapping: YDR389W YPR165W -- 0.65
Mapping: YDL240W YPR165W -- 0.755
Mapping: YBR200W YPR165W -- 0.7
Mapping: YBL105C YPR165W -- 0.87995
Mapping: YDR207C YPR164W -> 0.95
Mapping: YBR049C YPR164W -> 0.95
Mapping: YDR207C YPR163C -> 0.95
Mapping: YBR049C YPR163C -> 0.95
Mapping: YPL001W YPR162C -- 0.75
Mapping: YNL261W YPR162C -- 0.9846875
Mapping: YML065W YPR162C -- 0.99234375
Mapping: YLL004W YPR162C -- 0.95625
Mapping: YHR118C YPR162C -- 0.9375
Mapping: YEL056W YPR162C -- 0.75
Mapping: YBR060C YPR162C -- 0.96875
Mapping: YNL216W YPR161C -> 0.7
Mapping: YMR125W YPR161C -- 0.875
Mapping: YLR226W YPR161C -- 0.978125
Mapping: YGR044C YPR161C -> 0.3
Mapping: YDR356W YPR161C -- 0.7
Mapping: YDL140C YPR161C -- 0.9125
Mapping: YBL032W YPR161C -- 0.7
Mapping: YOR372C YPR160W -> 0.8
Mapping: YMR037C YPR160W -> 0.95
**Direct connection between source and sink for YMR037C-YPR160W
Mapping: YMR021C YPR160W -> 0.8
**Direct connection between source and sink for YMR021C-YPR160W
Mapping: YKL062W YPR160W -> 0.7
Mapping: YIL101C YPR160W -> 0.7
**Direct connection between source and sink for YIL101C-YPR160W
Mapping: YBL032W YPR160W -- 0.7
Mapping: YAL017W YPR160W -- 0.75
**Direct connection between source and sink for YAL017W-YPR160W
Mapping: YOR181W YPR159W -- 0.65
Mapping: YOR028C YPR159W -> 0.6
Mapping: YMR037C YPR159W -> 0.7
Mapping: YLR182W YPR159W -> 0.95
Mapping: YKL062W YPR159W -> 0.7
Mapping: YHL020C YPR159W -> 0.95
Mapping: YGL162W YPR159W -> 0.7
Mapping: YFR042W YPR159W -- 0.65
Mapping: YER111C YPR159W -> 0.95
Mapping: YDL056W YPR159W -> 0.95
Mapping: YOR372C YPR159C-A -> 0.8
Mapping: YMR037C YPR159C-A -> 0.95
Mapping: YMR021C YPR159C-A -> 0.8
Mapping: YKL062W YPR159C-A -> 0.7
Mapping: YIL101C YPR159C-A -> 0.7
Mapping: YPL049C YPR158W-B -> 0.6
Mapping: YBR083W YPR158W-B -> 0.95
Mapping: YPL049C YPR158W-A -> 0.6
Mapping: YBR083W YPR158W-A -> 0.95
Mapping: YGL131C YPR158W -> 0.95
Mapping: YDR043C YPR158W -> 0.6
Mapping: YNL068C YPR157W -> 0.7
Mapping: YDR043C YPR157W -> 0.95
Mapping: YNL068C YPR156C -> 0.7
Mapping: YKL203C YPR156C -- 0.7
Mapping: YJR066W YPR156C -- 0.7
Mapping: YDR043C YPR156C -> 0.95
Mapping: YBL032W YPR156C -- 0.7
Mapping: YPL049C YPR155C -> 0.6
Mapping: YMR037C YPR155C -> 0.3
Mapping: YBR083W YPR155C -> 0.7
